district_name,city,mean_radiance,road_density_km_per_sqkm,water_density_km_per_sqkm,infra_index,cluster,cluster_label
Douala 1er,Douala,13.997539570551762,8.266550358191239,0.8586708986900696,0.13277512110183123,0,Moderate
Douala 2e,Douala,10.254958609058798,12.203972730881658,1.4902584473619844,1.2526030698551145,1,Well-served
Douala 3e,Douala,6.136907941536896,9.896715561244047,0.8391666055662594,-0.5900966863222203,0,Moderate
Douala 4e,Douala,2.2876669463760844,2.493049983168106,0.9978148107926156,-1.713023136045945,2,Underserved
Douala 5e,Douala,4.262470436230381,6.991504923613228,0.449426901196663,-1.8201997745416831,2,Underserved
Douala 6e,Douala,0.3676910599388305,0.107476094961693,0.5351027478868713,-3.0027212814704165,2,Underserved
Yaounde 1er,Yaounde,14.165397811868724,14.338806413041452,1.0662960970292867,1.270813594529069,1,Well-served
Yaounde 2e,Yaounde,10.90152962080052,8.227689093355806,0.8554604130029675,-0.23148046344581613,0,Moderate
Yaounde 3e,Yaounde,7.979102984601804,7.014594351745259,0.549473755641449,-1.2267780685821355,0,Moderate
Yaounde 4e,Yaounde,13.229416808331605,14.126752274978823,1.1664255665948424,1.3023925699141188,1,Well-served
Yaounde 5e,Yaounde,18.220760501081127,17.99185854333734,1.271397684108938,2.5402644690469205,1,Well-served
Yaounde 6e,Yaounde,13.250827258007911,14.37432005410911,1.3386872628080897,1.621467031090827,1,Well-served
Yaounde 7e,Yaounde,6.528635143193935,11.63218245173108,1.315248571520489,0.4639835548703365,1,Well-served
